branch	head	in_worktree	merged	decision
master	bf12943	True	True	KEEP-MASTER
phase-2g2x-audit-differentiation	1afb26f	False	True	REMOVE
phase-2g2x-business-hardening	1afb26f	False	True	REMOVE
phase-2g2x-business-hardening-v2	b967e99	False	True	REMOVE
phase-2g2x-live-preview-policy	79c8793	False	True	REMOVE
phase-2g2x-live-preview-policy-v2	ac38556	False	True	REMOVE
phase-2g2x-medical-specialist-live-hardening-v2	0a5bcf2	True	True	KEEP-WORKTREE-ATTACHED
phase-2g2x-portfolio-hardening	b967e99	False	True	REMOVE
phase-2g2x-portfolio-hardening-v2	79c8793	False	True	REMOVE
phase-2g2x-tier-migration-v2	0a5bcf2	False	True	REMOVE
phase-agency-live-rollout-v1	9cef9a7	True	True	KEEP-WORKTREE-ATTACHED
phase-agency-preview-pipeline-fix-v1	efbdce1	False	True	REMOVE
phase-business-i18n-completion-v1	afb5b15	False	True	REMOVE
phase-business-live-rollout-v1	019ebd8	False	True	REMOVE
phase-catalog-expansion-strategy-v1	4381588	False	True	REMOVE
phase-catalog-stabilization-v1	d992516	False	True	REMOVE
phase-commerce-completion-v2	26ef563	False	True	REMOVE
phase-ecommerce-commerce-foundation-v1	3e42a34	False	True	REMOVE
phase-ecommerce-experience-hardening-v1	e660a9f	False	True	REMOVE
phase-ecommerce-live-rollout-v1	f35b4e5	True	True	KEEP-WORKTREE-ATTACHED
phase-editor-a1-flow-fix-v1	aa06d0b	True	True	KEEP-WORKTREE-ATTACHED
phase-editor-a10-lex-classic-gold-v1	ddfb66d	False	True	REMOVE
phase-editor-a10-planning-law-family-v1	340d1d1	False	True	REMOVE
phase-editor-a11-juris-modern-transparent-v1	287534b	False	True	REMOVE
phase-editor-a11-juris-planning-v1	8732ae9	False	True	REMOVE
phase-editor-a12-casa-mass-market-v1	9757da7	False	True	REMOVE
phase-editor-a12-real-estate-planning-v1	1660af4	False	True	REMOVE
phase-editor-a12b-villa-planning-v1	3073b83	False	True	REMOVE
phase-editor-a12b-villa-ultra-luxury-cinematic-v1	16d03d1	False	True	REMOVE
phase-editor-a13-chiara-editorial-designer-grid-v1	12984c9	False	True	REMOVE
phase-editor-a13-portfolio-planning-v1	35367b4	False	True	REMOVE
phase-editor-a13b-pixel-cinematic-photographer-v1	cecfa4e	False	True	REMOVE
phase-editor-a14-sapore-trattoria-warm-v1	7a8e1c3	False	True	REMOVE
phase-editor-a14b-brace-street-modern-v1	4fd677b	False	True	REMOVE
phase-editor-a15-bottega-artisan-workshop-v1	7764f40	False	True	REMOVE
phase-editor-a15b-luxe-fashion-editorial-v1	246b0e5	False	True	REMOVE
phase-editor-a16-salute-clinic-v1	59be682	False	True	REMOVE
phase-editor-a16b-benessere-wellness-v1	4574efb	False	True	REMOVE
phase-editor-a16c-famiglia-family-v1	505862f	False	True	REMOVE
phase-editor-a17-aura-agency-digital-studio-v1	7e0a6bd	False	True	REMOVE
phase-editor-a17b-elevate-startup-saas-v1	15482a9	False	True	REMOVE
phase-editor-a2-5-multipage-coverage-search-fix-v1	8afeb23	False	True	REMOVE
phase-editor-a2-5-palette-jump-fix-v1	507cb0b	False	True	REMOVE
phase-editor-a2-5-stability-hardening-v1	c244d98	False	True	REMOVE
phase-editor-a2-7-stabilization-ux-cleanup-v1	2986f7d	False	True	REMOVE
phase-editor-a2-8-sidebar-hardening-jump-api-v1	689d380	False	True	REMOVE
phase-editor-a3-true-repeater-v1	4d3c5e8	False	True	REMOVE
phase-editor-a3b-reorder-only-v1	2c53216	False	True	REMOVE
phase-editor-a3c-widen-repeater-v1	2b9929b	False	True	REMOVE
phase-editor-a4-image-upload-v1	45e5f5b	False	True	REMOVE
phase-editor-a5-orphan-asset-gc-v1	b753326	False	True	REMOVE
phase-editor-a6-second-archetype-v1	4b9376c	False	True	REMOVE
phase-editor-a7-multilocale-v1	e4c2298	False	True	REMOVE
phase-editor-a7b-pragma-multilocale-v1	d548588	False	True	REMOVE
phase-editor-a8-gusto-multilocale-v1	94772f2	False	True	REMOVE
phase-editor-a9-medical-specialist-v1	b9fe5ba	False	True	REMOVE
phase-editor-field-targeting-fix-v1	c244d98	False	True	REMOVE
phase-editor-foundation-v1	aa06d0b	False	True	REMOVE
phase-editor-full-coverage-v1	badb98a	True	False	KEEP-WORKTREE-ATTACHED
phase-editor-public-customize-v1	5f3cef8	False	True	REMOVE
phase-editor-scroll-media-fix-v1	1f4310b	True	True	KEEP-WORKTREE-ATTACHED
phase-editor-ux-live-preview-v1	1f4310b	False	True	REMOVE
phase-gusto-i18n-rtl-v1	5a73e4d	False	True	REMOVE
phase-i18n-dermatologia-v2	9043836	True	False	KEEP-WORKTREE-ATTACHED
phase-i18n-pilot-cardio-v2	bcd5306	False	True	REMOVE
phase-integration-baseline-v1	f4d58c4	False	True	REMOVE
phase-integration-baseline-v10	b7338e5	False	True	REMOVE
phase-integration-baseline-v11	4d1c78d	False	True	REMOVE
phase-integration-baseline-v12	afb54b5	False	True	REMOVE
phase-integration-baseline-v13	5ac088b	False	True	REMOVE
phase-integration-baseline-v14	79724db	False	True	REMOVE
phase-integration-baseline-v15	1e82294	False	True	REMOVE
phase-integration-baseline-v2	1d17d5a	False	True	REMOVE
phase-integration-baseline-v3	7770e0f	False	True	REMOVE
phase-integration-baseline-v4	53993f1	False	True	REMOVE
phase-integration-baseline-v5	9df1b50	False	True	REMOVE
phase-integration-baseline-v6	041ab4a	False	True	REMOVE
phase-integration-baseline-v7	a9942db	False	True	REMOVE
phase-integration-baseline-v8	30bbd3b	False	True	REMOVE
phase-integration-baseline-v9	a86372b	False	True	REMOVE
phase-law-realestate-live-rollout-v1	2fde0c8	False	True	REMOVE
phase-live-i18n-media-hardening-v1	fd3c385	False	True	REMOVE
phase-live-motion-media-pass-v1	eae4099	False	True	REMOVE
phase-luxe-commerce-polish-v1	1b38059	False	True	REMOVE
phase-medical-polish-fix-v1	623405b	True	True	KEEP-WORKTREE-ATTACHED
phase-medical-second-wave-v1	728a044	False	True	REMOVE
phase-medical-specialist-premium-split-v1	4e26b3f	True	False	KEEP-WORKTREE-ATTACHED
phase-motion-optin-medical-v1	9736da4	False	True	REMOVE
phase-motion-pilot-gusto-v2	58f43f4	False	True	REMOVE
phase-pixel-perfection-pass-v1	9b5dd57	False	True	REMOVE
phase-pixel-preview-coherence-fix-v1	9cedc59	False	True	REMOVE
phase-portfolio-live-rollout-v1	314a116	False	True	REMOVE
phase-pragma-hero-visibility-fix-v1	a067fbc	False	True	REMOVE
phase-premium-components-blueprint-v1	fec11f5	False	True	REMOVE
phase-premium-forms-polish-v1	38aca8b	False	True	REMOVE
phase-public-live-polish-v1	4224ce0	False	True	REMOVE
phase-restaurant-live-completion-v1	f760629	False	True	REMOVE
phase-restaurant-polish-fix-v1	36fde5a	False	True	REMOVE
phase-ultra-premium-live-v1	de39f1c	False	True	REMOVE
phase-x4-continua-build-brief	c45c52a	False	False	INVESTIGATE-UNMERGED
phase-x4-continua-pass1-review-lock	fc790f3	False	True	REMOVE
phase-x4-continua-passB-multilingual-lf5	9759ac4	False	True	REMOVE
phase-x4-continua-public-flip	8b3ccc1	False	False	INVESTIGATE-UNMERGED
phase-x4-continua-workflowD-release-decision	c319aeb	False	True	REMOVE
phase-x4-corporate-suite-case-parent-fix	6eada4f	False	True	REMOVE
phase-x4-design-orchestrator-dry-run	0f1c224	False	True	REMOVE
phase-x4-design-orchestrator-hardening-v1	d6cff90	False	True	REMOVE
phase-x4-design-orchestrator-master-prompt	980182f	False	True	REMOVE
phase-x4-design-orchestrator-matrix	80443db	False	True	REMOVE
phase-x4-solaria-controlled-reentry-pass1	075e623	False	True	REMOVE
phase-x4-solaria-final-decision-wip	513651c	False	True	REMOVE
phase-x4-solaria-passB-multilingual	6997885	False	True	REMOVE
phase-x4-solaria-passC-public-review	24fdde5	False	True	REMOVE
phase-x4-solaria-user-visible-passA	3cdbef6	False	False	INVESTIGATE-UNMERGED
phase-x4-wave2-fiscus-commercialista-v1	06aaf12	False	True	REMOVE
phase-x4-wave2-solaria-coaching-v1	6b70d56	False	False	INVESTIGATE-UNMERGED
phase-x4a-corporate-factory-hardening-core	0727aad	False	True	REMOVE
phase-x4a-corporate-factory-hardening-followup	075e623	False	True	REMOVE
phase-x4a-corporate-factory-hardening-step0	921961f	False	False	INVESTIGATE-UNMERGED
phase-x4a-solaria-controlled-reentry-plan	cf54efa	False	False	INVESTIGATE-UNMERGED
phase-x4b-continua-lf5-it-rebuild	26d8537	False	True	REMOVE
phase-x4b-corporate-suite-family-backfill	e3229ff	False	True	REMOVE
phase-x4b-corporate-suite-layout-divergence	0cad55b	False	True	REMOVE
phase-x4b-corporate-suite-layout-regression-walk	d8253e5	False	True	REMOVE
phase-x5-cornice-a3-imagery-curation	09e12f8	False	True	REMOVE
phase-x5-cornice-a4-copy-authoring	6baaaaa	False	True	REMOVE
phase-x5-cornice-a5-it-build	80800c3	False	True	REMOVE
phase-x5-cornice-a6-it-review-lock	303fcb9	False	True	REMOVE
phase-x5-cornice-postflip-consolidation	9c273d2	False	True	REMOVE
phase-x5-cornice-public-flip	e95422f	False	True	REMOVE
phase-x5-cornice-step2-paper-promotion	17f50b3	False	True	REMOVE
phase-x5-cornice-workflowC-multilingual	4aef041	False	True	REMOVE
phase-x5-cornice-workflowD-release-decision	ace224a	False	True	REMOVE
phase-x5-lf2-fifth-sibling-pilot	0183aa2	False	True	REMOVE
phase-x5-post-cornice-reference-hardening	27a2235	False	True	REMOVE
phase-x6-causa-a3-imagery	0d292e1	False	True	REMOVE
phase-x6-causa-a4-copy	78af2fe	False	True	REMOVE
phase-x6-causa-a5-it-build	dcf0f34	False	True	REMOVE
phase-x6-causa-a5b-imagery-recurate	34676d1	False	True	REMOVE
phase-x6-causa-a6-it-review-lock	34676d1	False	True	REMOVE
phase-x6-causa-step1-planner-brief	8f9c06c	False	True	REMOVE
phase-x6-premium-dynamic-personalization-hardening	34676d1	False	True	REMOVE
phase-x6-sixth-sibling-intake	e808b36	False	True	REMOVE
phase-x7e-lf2-variance-and-causa-retrofit	ab88d16	True	True	KEEP-WORKTREE-ATTACHED
worktree-archetype-reuse-validation	bbcca51	False	True	REMOVE
worktree-backend-core	a552bda	False	True	REMOVE
worktree-catalog-enhancements	6239d33	False	True	REMOVE
worktree-catalog-integration	0b87713	False	True	REMOVE
worktree-medical-pilot-fix	4fa8727	False	True	REMOVE
worktree-premium-ui	9a3945c	False	True	REMOVE
worktree-preview-realism	6239d33	True	True	KEEP-WORKTREE-ATTACHED
worktree-real-preview-assets	79c5368	False	True	REMOVE
worktree-restaurant-template-pilot	8b3206a	False	True	REMOVE
worktree-specialist-copy-abstraction	bcbd137	False	True	REMOVE
worktree-template-completeness-pilot	a8fd84f	False	True	REMOVE
worktree-template-dna-system	949e43a	False	True	REMOVE
worktree-template-polish-fixes	4418869	False	True	REMOVE
worktree-visual-polish-and-preview-fixes	22d1096	False	True	REMOVE
